HH_ID,EF_ID,CF_ID,PP_ID,CMA,AGEGRP,SEX,KOL,ATTSCH,CIP2011,NOCS,EMPIN,TOTINC,BEDRM,ROOM,DTYPE,MARSTH,CFSTAT,BUILT,CONDO,GENSTAT,CITIZEN,LFTAG,CF_RP,COW,POWST,INCTAX,PR,VALUE,REPAIR,HRSWRK,MODE,HHSIZE,EFSIZE,CFSIZE,PID,SIM_HH_ID,MATCH_ID_WD,MATCH_TIER_WD,MATCH_ID_WE,MATCH_TIER_WE
4,41,411,4111,2,5,1,3,1,5,2,17000,7,2,6,6,3,6,7,1,4,1,1,3,1,4,7000,24,220000,1,5,2,1,1,1,a11cf0f0,100,9303,2_Core,12317,3_Constraints
145,1451,14511,145111,1,5,2,1,1,13,9,20000,6,1,6,1,1,6,3,0,1,2,1,3,1,6,0,35,9999999,1,6,5,1,1,1,028c2f95,134,10544,3_Constraints,1768,3_Constraints
432,4321,43211,432111,2,2,1,1,1,13,2,32000,7,2,4,6,2,6,5,1,4,1,1,3,1,4,1,59,120000,1,5,2,1,1,1,2551eee5,212,809,3_Constraints,3634,3_Constraints
443,4431,44311,443111,2,5,2,3,1,3,7,26000,6,1,3,6,2,6,6,1,3,1,1,3,1,4,3000,46,9999999,2,5,6,1,1,1,1a346472,217,15298,3_Constraints,8940,3_Constraints
451,4511,45111,451111,1,2,1,1,1,5,1,78000,10,3,6,1,2,6,3,0,1,2,1,3,1,1,14000,59,1000000,1,4,9,1,1,1,9cd8748b,221,8532,3_Constraints,3634,3_Constraints
478,4781,47811,478111,2,7,2,3,1,13,99,0,9,3,9,1,3,6,5,0,4,1,4,3,9,9,12000,24,100000,1,0,9,1,1,1,0f0eb5a2,229,5776,3_Constraints,7223,3_Constraints
517,5171,51711,517111,1,2,1,1,1,4,1,77000,10,2,3,6,2,6,10,1,2,1,1,3,1,4,7000,35,220000,1,5,2,1,1,1,dbc24312,241,8532,3_Constraints,6728,3_Constraints
528,5281,52811,528111,1,2,1,1,1,13,7,17000,5,4,7,3,2,6,5,1,4,1,1,3,1,6,3000,35,250000,2,4,6,1,1,1,48f39a7e,244,8532,3_Constraints,6728,3_Constraints
545,5451,54511,545111,1,2,1,3,1,5,1,5000,4,1,2,5,3,6,5,0,1,2,1,3,1,4,1000,24,9999999,2,5,6,1,1,1,a532ddbf,251,8532,3_Constraints,6728,3_Constraints
594,5941,59411,594111,2,5,1,2,1,13,99,0,6,2,4,6,3,6,2,0,4,1,4,3,9,9,3000,24,9999999,1,0,9,1,1,1,4e2fed6d,264,9321,3_Constraints,10879,2_Core
626,6261,62611,626111,2,5,1,2,1,13,99,0,5,2,10,1,3,6,3,0,4,1,4,3,9,9,1,24,150000,2,0,9,1,1,1,1c8a673c,274,9321,3_Constraints,10879,2_Core
665,6651,66511,665111,1,6,1,3,1,2,99,1,5,1,5,6,3,6,2,0,4,1,4,3,9,9,1,24,9999999,1,0,9,1,1,1,bc79e3e4,283,148,3_Constraints,7279,3_Constraints
711,7111,71111,711111,1,6,2,1,1,13,99,0,6,1,4,6,3,6,3,0,4,1,4,3,9,9,1,35,9999999,1,0,9,1,1,1,af9c1160,289,4668,3_Constraints,2668,3_Constraints
734,7341,73411,734111,1,7,1,2,1,13,99,0,6,1,3,6,3,6,6,0,4,1,4,3,9,9,1,24,9999999,1,0,9,1,1,1,89b8ec68,293,9837,3_Constraints,10484,3_Constraints
775,7751,77511,775111,2,5,1,1,1,13,99,1,7,3,6,1,3,6,6,0,4,1,4,3,9,9,3000,59,160000,2,0,9,1,1,1,66f0b9c7,301,1238,3_Constraints,5210,3_Constraints
780,7801,78011,780111,1,2,2,3,2,6,99,7000,3,2,3,6,2,6,4,0,3,1,5,3,9,9,0,24,9999999,1,0,9,1,1,1,4e9d29ae,304,4938,3_Constraints,14177,3_Constraints
863,8631,86311,863111,1,3,1,3,1,4,5,68000,10,1,4,6,2,6,5,0,4,1,1,3,1,1,13000,48,9999999,1,6,9,1,1,1,e6b9a127,329,3145,2_Core,6972,4_FailSafe
1011,10111,101111,1011111,1,2,2,1,1,11,3,130000,12,3,8,1,2,6,10,0,4,1,1,3,1,6,36000,35,420000,1,4,2,1,1,1,de023f47,373,3688,3_Constraints,6852,3_Constraints
1036,10361,103611,1036111,1,6,1,3,1,2,7,22000,7,1,3,6,3,6,1,0,4,1,2,3,1,4,3000,24,9999999,1,0,7,1,1,1,b3483c6d,377,87,3_Constraints,7279,3_Constraints
1131,11311,113111,1131111,2,2,1,1,1,9,5,0,2,3,5,1,2,6,6,0,4,1,1,3,1,6,0,48,9999999,1,4,2,1,1,1,282303b0,403,809,3_Constraints,3634,3_Constraints
1155,11551,115511,1155111,2,7,1,1,1,13,99,0,5,1,2,6,3,6,6,0,4,1,4,3,9,9,0,35,9999999,1,0,9,1,1,1,6d97d382,407,11969,2_Core,1074,3_Constraints
1184,11841,118411,1184111,2,7,1,1,1,13,99,1,8,3,5,1,3,6,3,0,4,1,4,3,9,9,7000,24,150000,1,0,9,1,1,1,21915c30,420,13361,3_Constraints,10484,3_Constraints
1228,12281,122811,1228111,2,3,2,1,1,13,3,0,3,2,5,6,2,6,6,1,4,1,1,3,1,5,0,59,9999999,2,3,2,1,1,1,c6be6326,426,3460,3_Constraints,6472,3_Constraints
1240,12401,124011,1240111,2,4,2,1,1,8,99,0,2,1,3,1,2,6,3,0,4,1,4,3,9,9,0,10,80000,2,0,9,1,1,1,18ca4f16,431,2544,3_Constraints,9420,3_Constraints
1443,14431,144311,1443111,2,4,2,1,1,8,3,42000,8,4,6,1,3,6,7,0,4,1,1,3,6,4,5000,10,120000,1,5,2,1,1,1,069490ec,482,4889,2_Core,9420,3_Constraints
1545,15451,154511,1545111,2,6,1,2,1,13,99,1000,5,1,4,6,2,6,3,0,4,1,4,3,9,9,0,10,9999999,1,0,9,1,1,1,95a2c1dc,505,3881,3_Constraints,7785,3_Constraints
1587,15871,158711,1587111,2,5,1,1,1,11,5,8000,4,2,5,1,3,6,5,0,4,1,1,3,1,2,1,59,30000,3,1,7,1,1,1,8e2ff84c,517,13774,3_Constraints,3192,3_Constraints
1732,17321,173211,1732111,1,4,2,3,1,5,2,32000,7,2,7,3,2,6,7,0,4,1,3,3,1,6,5000,24,190000,1,0,2,1,1,1,2578a3f7,552,3177,3_Constraints,10924,3_Constraints
1836,18361,183611,1836111,1,2,2,1,1,4,2,110000,12,2,3,5,2,6,5,1,1,2,1,3,1,4,28000,48,350000,1,5,7,1,1,1,8ba1c9bf,575,4938,3_Constraints,12416,3_Constraints
1961,19611,196111,1961111,1,5,2,1,1,13,8,69000,10,3,5,8,2,6,6,0,4,1,1,3,1,4,16000,48,9999999,1,7,2,1,1,1,a2dd7178,608,10003,3_Constraints,6082,3_Constraints
1972,19721,197211,1972111,1,4,2,1,1,13,2,86000,11,1,3,6,2,6,7,0,4,1,2,3,1,5,17000,59,9999999,1,0,6,1,1,1,d5749607,611,2145,3_Constraints,10924,3_Constraints
2119,21191,211911,2119111,1,5,2,1,1,11,99,0,6,1,3,1,2,6,8,1,4,1,3,3,9,9,2000,59,9999999,1,0,9,1,1,1,2c886f79,650,2661,3_Constraints,1768,3_Constraints
2138,21381,213811,2138111,1,5,2,1,1,6,1,0,6,1,4,6,2,6,3,0,4,1,2,3,5,1,0,35,9999999,1,0,9,1,1,1,9749dad4,657,10809,3_Constraints,8940,3_Constraints
