HH_ID,EF_ID,CF_ID,PP_ID,CMA,AGEGRP,SEX,KOL,ATTSCH,CIP2021,NOC21,EMPIN,TOTINC,BEDRM,ROOM,DTYPE,MARSTH,CFSTAT,BUILT,CONDO,GENSTAT,CITIZEN,LFTAG,CF_RP,COW,POWST,INCTAX,PR,VALUE,REPAIR,HRSWRK,MODE,PID,HHSIZE,SIM_HH_ID,MATCH_ID_WD,MATCH_TIER_WD,MATCH_ID_WE,MATCH_TIER_WE
319,3191,31911,3191101,1,7,2,1,0,8,99,1,95000,2,4,2,3,6,7,1,3,1,4,3,9,9,20000,59,630000,1,0,9,be97b6a9,1,189,6898,4_FailSafe,10203,4_FailSafe
1052,10521,105211,10521101,2,3,1,1,0,4,5,81000,82000,3,5,1,1,6,2,0,4,1,1,3,1,1,13000,35,310000,1,5,9,76762dd2,1,401,6898,4_FailSafe,10203,4_FailSafe
1321,13211,132111,13211101,1,1,1,3,1,8,2,99999999,3000,1,2,2,1,6,11,1,1,3,3,3,1,9,99999999,24,99999999,1,0,9,07b44b17,1,481,6898,4_FailSafe,10203,4_FailSafe
1976,19761,197611,19761101,2,5,2,2,0,13,8,88000,89000,2,5,2,1,6,6,1,4,1,1,3,1,7,21000,24,99999999,1,5,2,ef2b90b7,1,677,12979,3_Constraints,10203,4_FailSafe
2233,22331,223311,22331101,2,1,2,1,0,11,5,16000,22000,2,4,2,1,6,5,1,4,1,1,3,1,6,99999999,46,99999999,2,6,2,8825c823,1,756,6898,4_FailSafe,10203,4_FailSafe
3234,32341,323411,32341101,1,7,1,1,0,13,99,99999999,25000,1,3,2,3,6,4,0,4,1,5,3,9,9,99999999,35,99999999,3,0,9,82e3aaf2,1,1058,7810,3_Constraints,5429,3_Constraints
3749,37491,374911,37491101,2,7,1,1,0,10,99,99999999,18000,3,6,1,3,6,3,0,4,1,4,3,9,9,99999999,35,510000,1,0,9,c5b784ee,1,1203,7810,3_Constraints,5429,3_Constraints
4345,43451,434511,43451101,2,4,1,1,0,13,9,46000,46000,4,11,1,1,6,6,0,4,1,1,3,2,4,1000,48,640000,1,10,2,748ba5a8,1,1376,6898,4_FailSafe,8506,3_Constraints
5382,53821,538211,53821101,1,4,1,1,0,11,7,2000,23000,2,8,1,3,6,7,0,4,1,1,3,2,1,1000,48,460000,1,3,9,b936acec,1,1687,6898,4_FailSafe,8506,3_Constraints
5643,56431,564311,56431101,2,6,2,2,0,4,99,99999999,77000,1,3,2,3,6,11,1,4,1,4,3,9,9,20000,24,250000,1,0,9,9b60ecae,1,1768,8604,3_Constraints,7137,3_Constraints
