EMPIN,TOTINC,INCTAX,CIP,HRSWRK,NOCS,HHSIZE,CF_RP,COW,MODE,YEAR,CITIZEN,AGEGRP,CFSTAT,POWST,GENSTAT,LFTAG,PR,ATTSCH,CMA,KOL,MARSTH,EFSIZE,SEX,CFSIZE,BEDRM,ROOM,CONDO,REPAIR,DTYPE
16287.849,19071.898,1956.5435,13,5,8,4,2,1,2,2030,1,7,3,4,3,1,5,1,999,1,1,4,2,4,1,1,0,1,2
8287.849,16071.898,1956.5435,99,0,99,1,3,9,9,2030,1,11,5,9,4,13,2,9,462,2,1,1,1,1,2,2,0,2,2
40287.848,53071.9,4956.5435,13,0,7,5,2,1,9,2030,1,5,1,9,4,11,5,1,999,1,2,5,1,5,3,4,0,1,1
8287.849,28071.898,1956.5435,13,0,99,1,3,9,9,2030,1,13,5,9,2,14,4,1,999,1,3,1,1,1,3,4,0,1,1
168287.84,202071.9,47956.543,8,5,3,3,1,1,9,2030,1,11,1,1,4,1,4,1,999,1,2,3,2,3,3,4,0,1,1
28287.848,45071.9,4956.5435,13,2,8,1,3,1,2,2030,2,9,5,2,1,1,4,1,825,1,1,1,2,1,3,4,0,1,1
8287.849,25071.898,1956.5435,10,0,99,2,2,9,9,2030,1,11,1,9,4,13,3,1,999,1,2,2,1,2,2,2,0,1,2
42287.848,44071.9,5956.5435,13,5,7,3,1,1,2,2030,1,10,1,4,4,1,1,1,999,1,2,3,2,3,2,3,0,1,1
8287.849,23071.898,1956.5435,13,0,7,2,2,2,9,2030,1,11,1,9,4,9,4,1,999,1,2,2,1,2,2,4,0,1,1
8287.849,12071.898,1956.5435,99,99,99,3,2,9,9,2030,1,1,4,9,4,99,1,9,999,1,1,3,2,3,2,4,0,1,1
19287.848,55071.9,9956.543,8,0,99,1,3,9,9,2030,1,11,5,9,4,13,3,1,999,1,3,1,2,1,1,1,0,2,2
8287.849,12071.898,1956.5435,99,99,99,4,2,9,9,2030,1,1,3,9,4,99,1,9,999,1,1,4,2,4,2,3,1,1,3
8287.849,12071.898,1956.5435,99,99,99,4,2,9,9,2030,1,1,3,9,3,99,5,9,933,1,1,4,2,4,3,4,0,1,1
49287.848,60071.9,6956.5435,8,6,3,1,3,1,2,2030,1,6,5,2,4,1,2,1,999,2,1,1,2,1,2,2,0,1,2
8287.849,14071.898,1956.5435,13,0,7,1,3,1,7,2030,1,3,5,4,4,2,2,2,462,3,1,1,2,4,1,1,0,1,2
17287.848,26071.898,1956.5435,13,0,99,4,2,9,9,2030,3,6,1,9,1,9,4,1,825,1,2,4,1,4,3,4,0,2,1
69287.85,79071.9,10956.543,8,6,3,2,2,1,2,2030,1,11,1,2,4,1,1,1,999,1,2,2,1,2,2,4,0,1,1
16287.849,24071.898,1956.5435,13,0,7,3,2,1,9,2030,1,5,4,9,4,11,3,1,999,1,1,3,2,3,2,2,0,1,2
8287.849,30071.898,1957.5435,13,0,99,2,1,9,9,2030,1,11,5,9,4,13,4,1,835,1,3,2,1,2,1,1,0,1,2
8287.849,21071.898,1956.5435,13,0,99,4,2,9,9,2030,1,2,3,9,2,13,3,1,535,1,2,4,1,4,2,2,0,3,3
8287.849,12071.898,1956.5435,99,99,99,4,2,9,9,2030,1,1,4,9,2,99,3,9,999,1,1,4,2,4,2,4,0,1,1
54287.848,71071.9,9956.543,6,3,5,4,2,1,1,2030,2,7,1,5,1,1,5,2,999,1,2,4,2,4,2,3,0,2,1
8287.849,18071.898,1956.5435,13,0,99,2,2,9,9,2030,1,10,1,9,2,13,5,1,999,1,1,2,1,2,1,2,0,1,2
8287.849,12071.898,1956.5435,99,99,99,1,2,9,9,2030,1,2,3,9,4,99,5,9,933,3,1,1,1,1,1,1,0,1,1
8287.849,24071.898,1956.5435,13,0,99,2,2,9,9,2030,1,12,1,9,4,13,3,1,999,1,2,2,1,2,3,4,0,1,1
1209116.9,1022240.9,428293.53,8,7,1,4,1,1,2,2030,1,10,1,6,2,1,3,1,535,1,2,4,2,4,3,3,0,1,3
8288.849,50071.9,5956.5435,13,0,99,1,3,9,9,2030,1,12,5,9,4,13,2,1,462,2,3,1,2,1,2,4,0,1,1
8287.849,16071.898,1956.5435,99,0,99,1,3,9,9,2030,1,1,5,9,4,99,2,9,999,2,1,1,2,1,3,3,0,2,1
8287.849,12071.898,1956.5435,99,99,99,5,2,9,9,2030,1,1,3,9,4,99,3,9,999,3,1,5,2,4,2,3,0,1,1
8287.849,30071.898,2956.5435,13,0,99,2,1,9,9,2030,2,13,1,9,1,13,3,1,999,1,2,2,2,2,2,2,0,1,2
8287.849,12071.898,1956.5435,99,99,99,3,2,9,9,2030,1,1,3,9,4,99,4,9,835,1,1,3,2,3,2,3,0,1,1
8287.849,34071.9,1957.5435,1,0,99,2,1,9,9,2030,2,12,1,9,1,13,5,1,999,1,2,2,1,2,2,2,0,1,1
8287.849,12071.898,1956.5435,99,99,99,4,2,9,9,2030,1,2,3,9,4,99,2,9,462,3,1,4,1,4,2,2,0,1,2
8287.849,12071.898,1956.5435,13,1,7,4,2,1,2,2030,1,3,3,4,4,1,2,2,999,2,1,4,1,4,2,2,0,1,1
72287.85,77071.9,14956.543,5,5,2,2,2,1,2,2030,1,10,1,5,2,1,2,1,462,3,2,2,1,2,2,2,0,2,2
8287.849,13071.898,1956.5435,13,0,99,4,2,9,9,2030,1,3,3,9,3,14,3,2,999,1,1,4,1,4,3,4,0,1,1
15287.849,57071.9,7956.5435,8,0,99,5,1,9,9,2030,2,12,1,9,1,13,3,1,535,1,2,5,2,2,3,4,0,1,1
8287.849,12071.898,1956.5435,99,99,99,4,2,9,9,2030,1,1,3,9,4,99,2,9,462,2,1,4,2,4,3,4,0,1,1
42287.848,58071.9,4956.5435,5,3,8,1,3,1,2,2030,1,11,5,4,4,1,1,1,999,1,3,1,1,1,2,2,0,1,3
24287.848,31071.898,3956.5435,13,5,7,4,2,1,2,2030,1,6,3,4,2,1,3,1,535,1,1,4,2,4,2,2,0,1,1
8287.849,30071.898,1956.5435,1,0,99,1,3,9,9,2030,1,13,5,9,4,13,2,1,999,2,3,1,1,1,3,4,0,1,1
8287.849,12071.898,1956.5435,99,99,99,5,2,9,9,2030,1,1,3,9,4,99,2,9,999,2,1,5,2,5,3,3,0,1,1
8287.849,12071.898,1956.5435,99,99,99,4,2,9,9,2030,1,2,3,9,2,99,4,9,835,1,1,4,1,4,3,4,0,3,1
68287.85,81071.9,14956.543,13,4,9,2,2,1,2,2030,1,11,1,5,4,1,4,1,999,1,2,2,2,2,2,3,0,1,3
8287.849,32071.898,1956.5435,5,0,99,1,3,9,9,2030,1,11,5,9,4,14,2,1,999,2,3,1,1,1,1,1,1,3,2
33287.848,40071.9,3956.5435,3,5,8,4,1,1,2,2030,1,7,1,2,4,1,2,2,462,3,1,4,1,4,2,1,1,1,2
40287.848,50071.9,4956.5435,13,4,5,2,2,1,9,2030,1,12,1,1,4,1,3,1,999,1,2,2,1,2,1,1,0,1,2
48287.848,58071.9,13956.543,13,5,8,2,1,1,2,2030,1,11,1,6,4,1,2,1,462,3,1,2,2,2,2,3,0,1,1
44287.848,48071.9,4956.5435,13,0,3,1,3,1,2,2030,2,8,5,5,1,2,4,2,835,1,1,1,2,1,2,2,0,1,3
18287.848,27071.898,1956.5435,13,0,8,4,2,1,9,2030,1,6,3,9,3,6,3,2,999,1,1,4,2,4,2,4,0,1,1
67287.85,68071.9,9956.543,13,5,2,4,1,1,2,2030,1,11,1,6,4,1,3,1,999,1,2,4,1,4,3,3,0,2,1
8287.849,12071.898,1956.5435,99,99,99,3,2,9,9,2030,1,2,4,9,4,99,3,9,535,1,1,2,1,2,2,2,1,1,2
51287.848,59071.9,9956.543,8,6,8,1,3,1,2,2030,1,6,5,4,3,1,3,1,999,1,1,4,2,4,2,2,0,1,2
83287.85,109071.9,18956.543,10,5,1,3,1,3,2,2030,3,10,2,2,1,1,3,1,535,1,3,3,1,3,2,1,1,1,2
38287.848,66071.9,10956.543,10,5,4,4,1,2,2,2030,1,7,1,4,3,1,5,2,999,1,1,4,2,4,2,2,1,1,2
29287.848,30071.898,1957.5435,13,5,8,2,3,1,2,2030,1,5,6,5,4,1,5,1,999,1,1,2,2,2,2,3,0,3,1
86287.85,80071.9,11956.543,5,5,5,3,2,1,2,2030,2,7,1,6,1,1,3,1,535,1,2,3,1,3,2,2,0,1,1
