occID,SURVMNTH,AGEGRP,SEX,MARSTH,HHSIZE,PR,CMA,LFTAG,WKSWRK,NOCS,COW,HRSWRK,CTW_140A,CTW_140B,CTW_140C,CTW_140D,CTW_140E,CTW_140F,CTW_140G,CTW_140H,CTW_140I,EHG_ALL,KOL,TOTINC,WGHT_PER,DDAY,HRSWRK_RAW,TOTINC_RAW,TOTINC_SOURCE,CYCLE_YEAR,SURVYEAR,COLLECT_MODE,TUI_10_AVAIL,BS_TYPE
10000,7,5,1,5,1,46,1,3,,6,,1.0,6,6,6,6,6,6,6,6,6,3,1.0,1,616.674,1,2.0,1,SELF,2015,2015,0,1,STANDARD_BS
10001,7,5,1,1,3,59,1,3,26,2,,1.0,6,6,6,6,6,6,6,6,6,4,1.0,5,8516.614,1,10.0,5,SELF,2015,2015,0,1,STANDARD_BS
10002,1,4,2,1,5,47,1,1,50,5,2,8.0,6,6,6,6,6,6,6,6,6,5,1.0,3,371.752,3,75.0,3,SELF,2015,2015,0,1,STANDARD_BS
10003,3,6,2,5,1,35,1,1,52,4,1,1.0,1,2,2,2,2,2,2,2,2,4,1.0,2,1019.3135,1,8.0,2,SELF,2015,2015,0,1,STANDARD_BS
10004,9,2,1,6,2,35,1,,,,,,6,6,6,6,6,6,6,6,6,99,,2,1916.0708,3,99.6,2,SELF,2015,2015,0,1,STANDARD_BS
10005,4,1,1,6,3,35,1,1,50,8,1,6.0,1,2,2,2,2,2,2,2,2,1,1.0,3,1952.2015,1,50.0,3,SELF,2015,2015,0,1,STANDARD_BS
10006,8,1,1,6,5,35,1,3,52,2,,1.0,6,6,6,6,6,6,6,6,6,1,3.0,1,5761.5528,3,1.0,1,SELF,2015,2015,0,1,STANDARD_BS
10007,6,5,2,3,1,59,1,3,,,,,6,6,6,6,6,6,6,6,6,4,1.0,4,466.0426,1,99.6,4,SELF,2015,2015,0,1,STANDARD_BS
10008,2,2,2,1,3,24,2,1,46,5,1,2.0,1,1,2,2,2,2,2,2,2,6,2.0,2,2479.2991,1,32.0,2,SELF,2015,2015,0,1,STANDARD_BS
10009,8,6,1,3,2,46,1,3,,,,,6,6,6,6,6,6,6,6,6,3,1.0,3,1436.1641,1,99.6,3,SELF,2015,2015,0,1,STANDARD_BS
10010,1,3,2,1,5,11,3,1,52,2,1,4.0,1,2,2,2,2,2,2,2,2,6,1.0,3,284.989,1,40.0,3,SELF,2015,2015,0,1,STANDARD_BS
10011,5,2,2,6,2,35,1,1,52,7,1,4.0,1,2,2,2,2,2,2,2,2,3,1.0,5,1000.4527,1,40.0,7,SELF,2015,2015,0,1,STANDARD_BS
10012,11,2,2,1,5,35,2,1,52,5,1,2.0,1,2,2,2,2,2,2,2,2,7,1.0,2,1227.6668,1,30.0,2,SELF,2015,2015,0,1,STANDARD_BS
10013,12,3,1,1,5,24,1,2,,,,,2,2,1,2,2,2,2,2,2,6,2.0,1,3309.1285,1,99.6,1,SELF,2015,2015,0,1,STANDARD_BS
10014,2,2,2,1,3,35,1,3,22,2,,3.0,6,6,6,6,6,6,6,6,6,4,1.0,3,3098.2266,1,37.5,3,SELF,2015,2015,0,1,STANDARD_BS
10015,10,5,1,3,3,48,1,1,52,1,1,5.0,1,2,2,2,2,2,2,2,2,7,3.0,5,4877.7763,1,45.0,7,SELF,2015,2015,0,1,STANDARD_BS
10016,2,7,1,1,1,46,2,3,,,,,6,6,6,6,6,6,6,6,6,7,3.0,3,312.6028,1,99.6,3,SELF,2015,2015,0,1,STANDARD_BS
10017,8,4,1,1,4,35,1,1,52,8,1,4.0,1,2,2,2,2,2,2,2,2,6,1.0,3,6425.5112,3,40.0,3,SELF,2015,2015,0,1,STANDARD_BS
10018,6,6,2,1,2,12,2,1,52,2,1,1.0,2,2,2,2,2,2,2,1,2,1,1.0,2,490.2123,1,20.0,2,SELF,2015,2015,0,1,STANDARD_BS
10019,3,2,1,1,4,59,1,1,52,8,1,6.0,1,2,2,2,2,2,2,2,2,2,1.0,3,3085.2629,1,50.0,3,SELF,2015,2015,0,1,STANDARD_BS
10020,6,7,2,3,1,59,1,3,,,,,6,6,6,6,6,6,6,6,6,1,1.0,2,541.1574,3,99.6,2,SELF,2015,2015,0,1,STANDARD_BS
10021,8,5,2,1,2,12,1,3,52,7,,3.0,6,6,6,6,6,6,6,6,6,6,1.0,2,658.337,1,38.0,2,SELF,2015,2015,0,1,STANDARD_BS
10022,1,3,1,2,2,35,1,1,52,2,1,5.0,1,2,2,2,2,2,2,2,2,5,3.0,4,1573.5826,1,45.0,4,SELF,2015,2015,0,1,STANDARD_BS
10023,12,6,2,1,2,46,1,3,,,,,6,6,6,6,6,6,6,6,6,1,3.0,2,936.0372,3,99.6,2,SELF,2015,2015,0,1,STANDARD_BS
10024,8,4,2,6,1,59,1,3,12,5,,2.0,6,6,6,6,6,6,6,6,6,4,1.0,2,1114.0172,2,33.0,2,SELF,2015,2015,0,1,STANDARD_BS
10025,6,2,1,6,1,24,1,1,52,8,1,4.0,2,1,2,2,2,2,2,2,2,4,3.0,5,1398.974,3,40.0,7,SELF,2015,2015,0,1,STANDARD_BS
10026,6,2,2,2,4,24,1,1,52,7,1,5.0,2,1,1,2,2,2,2,2,2,3,2.0,2,2287.9467,1,45.0,2,SELF,2015,2015,0,1,STANDARD_BS
10027,5,1,1,6,4,13,1,2,,,,,2,2,2,1,2,2,2,2,2,1,3.0,1,801.5155,1,99.6,1,SELF,2015,2015,0,1,STANDARD_BS
10028,9,7,1,1,2,12,1,3,,,,,6,6,6,6,6,6,6,6,6,6,1.0,4,838.4135,2,99.6,4,SELF,2015,2015,0,1,STANDARD_BS
10029,1,5,2,1,2,35,1,3,,,,,6,6,6,6,6,6,6,6,6,6,3.0,3,1232.1785,3,99.6,3,SELF,2015,2015,0,1,STANDARD_BS
10030,6,6,2,1,2,10,2,3,,,,,6,6,6,6,6,6,6,6,6,6,1.0,3,351.7384,1,99.6,3,SELF,2015,2015,0,1,STANDARD_BS
10031,2,7,2,1,2,59,1,,,,,,6,6,6,6,6,6,6,6,6,98,,2,1151.6956,1,99.6,2,SELF,2015,2015,0,1,STANDARD_BS
10032,8,2,1,6,1,47,1,1,52,3,1,4.0,1,2,2,2,2,2,2,2,2,4,1.0,4,324.5429,1,40.0,4,SELF,2015,2015,0,1,STANDARD_BS
10033,5,3,2,1,4,59,1,,,,,,6,6,6,6,6,6,6,6,6,99,,4,9329.5107,1,99.6,4,SELF,2015,2015,0,1,STANDARD_BS
10034,11,3,2,1,4,35,1,1,52,2,1,3.0,1,2,2,2,2,2,2,2,2,3,1.0,3,2393.0949,1,37.5,3,SELF,2015,2015,0,1,STANDARD_BS
10035,5,4,2,1,4,24,1,1,52,2,1,1.0,1,2,2,2,2,2,2,2,2,4,3.0,2,4937.9511,1,15.0,2,SELF,2015,2015,0,1,STANDARD_BS
10036,8,3,1,2,5,24,2,1,5,1,1,8.0,1,2,2,2,2,2,2,2,2,6,3.0,2,2251.7325,1,60.0,2,SELF,2015,2015,0,1,STANDARD_BS
10037,9,6,1,5,1,12,2,3,,,,,6,6,6,6,6,6,6,6,6,1,1.0,1,372.2205,1,99.6,1,SELF,2015,2015,0,1,STANDARD_BS
10038,2,6,2,1,2,13,2,3,,,,,6,6,6,6,6,6,6,6,6,6,3.0,3,294.6127,3,99.6,3,SELF,2015,2015,0,1,STANDARD_BS
10039,3,3,1,1,3,59,1,1,52,3,1,4.0,7,7,7,7,7,7,7,7,7,6,1.0,4,1508.7606,1,40.0,4,SELF,2015,2015,0,1,STANDARD_BS
10040,5,5,2,4,1,35,2,1,52,2,1,1.0,1,2,2,2,2,2,2,2,2,4,1.0,1,600.362,1,6.0,1,SELF,2015,2015,0,1,STANDARD_BS
10041,12,3,2,1,3,35,1,3,45,7,,4.0,6,6,6,6,6,6,6,6,6,5,1.0,4,1353.8178,1,40.0,4,SELF,2015,2015,0,1,STANDARD_BS
