SIM_HH_ID,Day_Type,Hour,HHSIZE,DTYPE,BEDRM,CONDO,ROOM,REPAIR,PR,Occupancy_Schedule,Metabolic_Rate
154,Weekday,0,1,MidRise,1,0,1,1,British Columbia,1.000,77.500
154,Weekday,1,1,MidRise,1,0,1,1,British Columbia,1.000,70.000
154,Weekday,2,1,MidRise,1,0,1,1,British Columbia,1.000,70.000
154,Weekday,3,1,MidRise,1,0,1,1,British Columbia,1.000,70.000
154,Weekday,4,1,MidRise,1,0,1,1,British Columbia,1.000,70.000
154,Weekday,5,1,MidRise,1,0,1,1,British Columbia,1.000,70.000
154,Weekday,6,1,MidRise,1,0,1,1,British Columbia,1.000,70.000
154,Weekday,7,1,MidRise,1,0,1,1,British Columbia,1.000,70.000
154,Weekday,8,1,MidRise,1,0,1,1,British Columbia,1.000,70.000
154,Weekday,9,1,MidRise,1,0,1,1,British Columbia,1.000,70.000
154,Weekday,10,1,MidRise,1,0,1,1,British Columbia,1.000,140.000
154,Weekday,11,1,MidRise,1,0,1,1,British Columbia,1.000,125.000
154,Weekday,12,1,MidRise,1,0,1,1,British Columbia,1.000,125.000
154,Weekday,13,1,MidRise,1,0,1,1,British Columbia,1.000,125.000
154,Weekday,14,1,MidRise,1,0,1,1,British Columbia,1.000,125.000
154,Weekday,15,1,MidRise,1,0,1,1,British Columbia,1.000,125.000
154,Weekday,16,1,MidRise,1,0,1,1,British Columbia,1.000,125.000
154,Weekday,17,1,MidRise,1,0,1,1,British Columbia,1.000,125.000
154,Weekday,18,1,MidRise,1,0,1,1,British Columbia,1.000,125.000
154,Weekday,19,1,MidRise,1,0,1,1,British Columbia,0.000,0.000
154,Weekday,20,1,MidRise,1,0,1,1,British Columbia,0.500,85.000
154,Weekday,21,1,MidRise,1,0,1,1,British Columbia,1.000,97.500
154,Weekday,22,1,MidRise,1,0,1,1,British Columbia,1.000,87.500
154,Weekday,23,1,MidRise,1,0,1,1,British Columbia,1.000,85.000
154,Weekend,0,1,MidRise,1,0,1,1,British Columbia,1.000,70.000
154,Weekend,1,1,MidRise,1,0,1,1,British Columbia,1.000,70.000
154,Weekend,2,1,MidRise,1,0,1,1,British Columbia,1.000,70.000
154,Weekend,3,1,MidRise,1,0,1,1,British Columbia,1.000,70.000
154,Weekend,4,1,MidRise,1,0,1,1,British Columbia,1.000,70.000
154,Weekend,5,1,MidRise,1,0,1,1,British Columbia,1.000,70.000
154,Weekend,6,1,MidRise,1,0,1,1,British Columbia,1.000,110.000
154,Weekend,7,1,MidRise,1,0,1,1,British Columbia,1.000,169.200
154,Weekend,8,1,MidRise,1,0,1,1,British Columbia,1.000,175.000
154,Weekend,9,1,MidRise,1,0,1,1,British Columbia,1.000,175.000
154,Weekend,10,1,MidRise,1,0,1,1,British Columbia,1.000,175.000
154,Weekend,11,1,MidRise,1,0,1,1,British Columbia,1.000,92.500
154,Weekend,12,1,MidRise,1,0,1,1,British Columbia,0.833,120.800
154,Weekend,13,1,MidRise,1,0,1,1,British Columbia,0.000,0.000
154,Weekend,14,1,MidRise,1,0,1,1,British Columbia,0.000,0.000
154,Weekend,15,1,MidRise,1,0,1,1,British Columbia,0.000,0.000
154,Weekend,16,1,MidRise,1,0,1,1,British Columbia,0.924,61.200
154,Weekend,17,1,MidRise,1,0,1,1,British Columbia,1.000,105.000
154,Weekend,18,1,MidRise,1,0,1,1,British Columbia,1.000,105.000
154,Weekend,19,1,MidRise,1,0,1,1,British Columbia,1.000,145.800
154,Weekend,20,1,MidRise,1,0,1,1,British Columbia,1.000,160.800
154,Weekend,21,1,MidRise,1,0,1,1,British Columbia,1.000,78.300
154,Weekend,22,1,MidRise,1,0,1,1,British Columbia,1.000,70.000
154,Weekend,23,1,MidRise,1,0,1,1,British Columbia,1.000,70.000
181,Weekday,0,1,HighRise,1,1,1,1,British Columbia,1.000,70.000
181,Weekday,1,1,HighRise,1,1,1,1,British Columbia,1.000,70.000
181,Weekday,2,1,HighRise,1,1,1,1,British Columbia,1.000,70.000
181,Weekday,3,1,HighRise,1,1,1,1,British Columbia,1.000,70.000
181,Weekday,4,1,HighRise,1,1,1,1,British Columbia,1.000,70.000
181,Weekday,5,1,HighRise,1,1,1,1,British Columbia,1.000,70.000
181,Weekday,6,1,HighRise,1,1,1,1,British Columbia,1.000,70.000
181,Weekday,7,1,HighRise,1,1,1,1,British Columbia,1.000,70.000
181,Weekday,8,1,HighRise,1,1,1,1,British Columbia,0.667,46.700
181,Weekday,9,1,HighRise,1,1,1,1,British Columbia,0.000,0.000
181,Weekday,10,1,HighRise,1,1,1,1,British Columbia,0.000,0.000
181,Weekday,11,1,HighRise,1,1,1,1,British Columbia,0.000,0.000
181,Weekday,12,1,HighRise,1,1,1,1,British Columbia,0.000,0.000
181,Weekday,13,1,HighRise,1,1,1,1,British Columbia,0.000,0.000
181,Weekday,14,1,HighRise,1,1,1,1,British Columbia,0.000,0.000
181,Weekday,15,1,HighRise,1,1,1,1,British Columbia,0.000,0.000
181,Weekday,16,1,HighRise,1,1,1,1,British Columbia,0.000,0.000
181,Weekday,17,1,HighRise,1,1,1,1,British Columbia,0.000,0.000
181,Weekday,18,1,HighRise,1,1,1,1,British Columbia,1.000,175.000
181,Weekday,19,1,HighRise,1,1,1,1,British Columbia,1.000,105.000
181,Weekday,20,1,HighRise,1,1,1,1,British Columbia,1.000,175.000
