[SECTION] Annual Energy Demand Metrics (Aggregated)
Category,Scenario,Mean(kWh/m2),StdDev,CI_Lower,CI_Upper
Heating,2025,71.0452,3.0993,70.2446,71.8458
Heating,2015,73.1951,5.1160,71.8734,74.5167
Heating,2005,75.5132,5.0380,74.2117,76.8147
Heating,Default,67.0528,0.0000,67.0528,67.0528
Cooling,2025,1.6010,0.2164,1.5451,1.6569
Cooling,2015,1.5170,0.3048,1.4382,1.5957
Cooling,2005,1.4059,0.3101,1.3258,1.4860
Cooling,Default,1.8458,0.0000,1.8458,1.8458
Lighting,2025,3.4829,0.7261,3.2953,3.6705
Lighting,2015,3.0035,0.9088,2.7688,3.2383
Lighting,2005,2.6829,0.9974,2.4253,2.9406
Lighting,Default,4.3790,0.0000,4.3790,4.3790
Equipment,2025,44.9614,3.8826,43.9584,45.9644
Equipment,2015,41.2579,5.5126,39.8339,42.6819
Equipment,2005,39.3902,5.9959,37.8413,40.9391
Equipment,Default,48.0281,0.0000,48.0281,48.0281
DHW,2025,9.0738,1.8881,8.5860,9.5615
DHW,2015,7.2504,2.9599,6.4858,8.0151
DHW,2005,6.3179,3.1917,5.4934,7.1424
DHW,Default,10.9195,0.0000,10.9195,10.9195

[SECTION] Statistical Variability (Reference: Default)
Category,Comparison,P-Value,Significant?,Cohens_D
Heating,ANOVA (2005-2015-2025),0.00000,Yes,-
Heating,2025 vs Default,0.00000,Yes,1.2882
Heating,2015 vs Default,0.00000,Yes,1.2006
Heating,2005 vs Default,0.00000,Yes,1.6793
Cooling,ANOVA (2005-2015-2025),0.00090,Yes,-
Cooling,2025 vs Default,0.00000,Yes,-1.1311
Cooling,2015 vs Default,0.00000,Yes,-1.0788
Cooling,2005 vs Default,0.00000,Yes,-1.4183
Lighting,ANOVA (2005-2015-2025),0.00001,Yes,-
Lighting,2025 vs Default,0.00000,Yes,-1.2341
Lighting,2015 vs Default,0.00000,Yes,-1.5135
Lighting,2005 vs Default,0.00000,Yes,-1.7005
Equipment,ANOVA (2005-2015-2025),0.00000,Yes,-
Equipment,2025 vs Default,0.00000,Yes,-0.7899
Equipment,2015 vs Default,0.00000,Yes,-1.2281
Equipment,2005 vs Default,0.00000,Yes,-1.4406
DHW,ANOVA (2005-2015-2025),0.00000,Yes,-
DHW,2025 vs Default,0.00000,Yes,-0.9776
DHW,2015 vs Default,0.00000,Yes,-1.2396
DHW,2005 vs Default,0.00000,Yes,-1.4417

[SECTION] Raw Simulation Data (Per Simulation)
Run_ID,Scenario,Heating,Cooling,Lighting,Equipment,DHW
1,2005,68.8114,1.8068,4.1279,47.8881,10.6293
2,2005,81.4199,1.0084,1.3556,32.5177,2.9019
3,2005,73.4471,1.5035,3.1597,42.1919,7.8358
4,2005,81.0870,1.0520,1.4709,33.0776,3.0595
5,2005,80.6196,1.0903,1.7238,33.4277,2.8644
6,2005,72.9115,1.5792,3.1597,42.1919,7.8358
7,2005,68.5395,1.8419,4.1279,48.0281,10.9195
8,2005,80.4550,1.1064,1.7319,33.5764,3.2921
9,2005,73.0479,1.5640,3.1597,42.1919,7.8358
10,2005,80.5376,1.1012,1.7319,33.5327,3.2471
11,2005,68.8841,1.8091,4.1015,47.8531,10.8744
12,2005,80.5458,1.0958,1.7319,33.5152,3.2421
13,2005,73.9567,1.4484,3.0233,41.8019,7.7121
14,2005,72.6171,1.6230,3.1597,42.1919,7.8358
15,2005,80.2215,1.1252,1.7319,33.5764,3.2921
16,2005,80.5749,1.0907,1.7319,33.5764,3.2921
17,2005,68.7406,1.8305,4.1279,48.0281,10.9195
18,2005,80.5014,1.0986,1.7212,33.5502,3.2771
19,2005,80.4594,1.1080,1.7319,33.5764,3.2921
20,2005,67.2037,1.9173,4.1279,48.0281,10.9195
21,2005,81.0822,1.0422,1.5381,33.0251,2.7119
22,2005,80.2472,1.1290,1.7319,33.5764,3.2921
23,2005,80.6184,1.0829,1.7319,33.4539,3.1095
24,2005,80.7905,1.0678,1.6686,33.2702,2.8144
25,2005,80.2102,1.1380,1.7319,33.5764,3.2921
26,2005,73.1423,1.5623,3.1597,42.1919,7.8358
27,2005,79.9904,1.1575,1.7319,33.5764,3.2921
28,2005,72.3724,1.6419,3.1597,42.1919,7.8358
29,2005,67.7009,1.9314,4.1279,48.0281,10.9195
30,2005,68.0809,1.8912,4.1279,48.0281,10.9195
31,2005,80.5358,1.0978,1.7238,33.5677,3.1546
32,2005,69.0949,1.7826,3.8821,47.2581,10.6768
33,2005,72.4534,1.6302,3.1597,42.1919,7.8358
34,2005,80.5359,1.1035,1.6982,33.2702,3.2274
35,2005,68.4153,1.8254,4.1279,48.0065,10.8266
36,2005,72.6830,1.6068,3.1597,42.1919,7.8358
37,2005,80.1241,1.1495,1.7319,33.5764,3.2921
38,2005,73.6733,1.4870,3.1398,41.9535,7.1862
39,2005,80.7746,1.0723,1.7132,33.4014,2.8494
40,2005,80.7468,1.0736,1.6562,33.2789,3.2271
41,2005,68.8415,1.7850,4.1279,47.9198,10.8081
42,2005,80.6337,1.0891,1.7238,33.4277,2.8644
