HH_ID,EF_ID,CF_ID,PP_ID,CMA,AGEGRP,SEX,KOL,ATTSCH,CIP,NOCS,EMPIN,TOTINC,BEDRM,ROOM,DTYPE,MARSTH,CFSTAT,BUILT,CONDO,GENSTAT,CITIZEN,LFTAG,CF_RP,COW,POWST,INCTAX,PR,VALUE,REPAIR,HRSWRK,MODE,HHSIZE,EFSIZE,CFSIZE,PID,SIM_HH_ID,MATCH_ID_WD,MATCH_TIER_WD,MATCH_ID_WE,MATCH_TIER_WE
120085,1200851,12008511,1200851101,1,4,2,1,1,13,7,39000,7,2,2,1,3,5,3,9,4,1,3,3,1,4,6000,48,0,1,0,2,1,1,1,14071ff5,35992,12823.0,3_Constraints,7516.0,3_Constraints
32232,322321,3223211,322321102,2,6,1,1,1,13,2,3000,5,2,4,1,2,1,1,0,4,1,1,2,1,2,1000,35,30000,1,1,2,2,2,2,b8bc0910,82537,5079.0,3_Constraints,18138.0,3_Constraints
29671,296711,2967111,296711102,2,6,1,1,1,1,99,1,11,2,3,1,2,1,3,0,1,2,4,2,9,9,22000,35,350000,1,0,9,2,2,2,7a2242e7,94693,1233.0,3_Constraints,1965.0,3_Constraints
57128,571281,5712811,571281101,2,6,2,2,1,13,99,0,9,2,2,1,3,5,1,0,4,1,4,3,9,9,13000,24,130000,1,0,9,1,1,1,950b53b0,17242,2854.0,3_Constraints,16221.0,2_Core
107136,1071361,10713611,1071361102,2,6,1,1,1,5,99,0,6,2,2,2,2,1,3,1,4,1,4,2,9,9,2000,46,140000,1,0,9,2,2,2,e689e79c,97193,5079.0,3_Constraints,1965.0,3_Constraints
84608,846081,8460811,846081102,2,5,1,3,1,10,7,31000,7,2,3,3,2,1,4,0,4,1,1,2,1,5,5000,35,200000,1,1,2,2,2,2,b39af7ff,70861,4021.0,3_Constraints,16990.0,2_Core
28055,280551,2805511,280551101,1,7,2,3,1,13,99,1,12,2,3,1,2,1,2,0,2,1,4,1,9,9,49000,24,685092,1,0,9,2,2,2,997f7784,53927,11146.0,3_Constraints,3049.0,3_Constraints
98500,985002,9850022,985002202,1,2,2,1,2,8,10,52000,9,2,2,2,1,6,3,1,2,1,1,3,1,4,10000,48,280000,1,3,2,2,1,1,6d56b0c7,112456,7451.0,3_Constraints,1061.0,3_Constraints
19746,197461,1974611,197461102,1,7,1,3,1,13,99,1000,6,2,3,2,2,1,2,0,4,1,4,2,9,9,1000,24,370000,2,0,9,2,2,2,4ca8d48e,67278,2336.0,3_Constraints,4522.0,3_Constraints
110046,1100461,11004611,1100461101,1,5,1,1,1,13,99,0,2,3,4,1,3,7,2,0,4,1,4,3,9,9,1,46,250000,1,0,9,3,3,1,c8400a3f,114065,12214.0,4_FailSafe,10079.0,3_Constraints
91034,910341,9103411,910341101,2,3,2,3,1,7,3,48000,8,2,4,3,1,5,3,0,4,1,1,3,1,4,11000,24,100000,1,4,6,1,1,1,840bbcbb,27348,8944.0,3_Constraints,11095.0,2_Core
99369,993692,9936922,993692202,1,1,1,1,2,4,7,9000,4,2,2,2,1,6,1,9,4,1,2,3,1,4,0,35,0,1,0,7,2,1,1,4f87b800,113343,5963.0,3_Constraints,5388.0,3_Constraints
57708,577081,5770811,577081102,1,4,1,1,1,2,6,167538,12,2,3,1,2,1,2,0,4,1,1,2,3,4,57697,46,340000,2,7,2,2,2,2,4de2d194,102446,19269.0,3_Constraints,16610.0,3_Constraints
78747,787471,7874711,787471102,2,3,2,1,2,8,8,0,2,2,2,1,1,1,2,9,4,1,1,2,2,2,0,10,0,1,3,2,2,2,2,10597de5,48343,1686.0,3_Constraints,10517.0,3_Constraints
85858,858581,8585811,858581102,2,3,1,1,1,8,10,27000,6,2,3,1,1,4,1,0,4,1,1,2,1,4,4000,35,130000,3,5,2,2,2,2,1cb53810,49636,3430.0,2_Core,11766.0,2_Core
25046,250461,2504611,250461102,1,2,1,1,1,4,2,33000,7,2,4,3,2,1,4,0,2,1,1,2,1,6,3000,35,290000,1,5,6,2,2,2,3cb43fd5,85122,14597.0,3_Constraints,18208.0,3_Constraints
13701,137011,1370111,137011101,2,3,1,1,1,10,4,32000,7,2,3,2,1,2,1,9,4,1,1,1,1,4,4000,10,0,1,4,5,2,2,2,38a8f0da,45355,18151.0,3_Constraints,2588.0,3_Constraints
67392,673921,6739211,673921101,2,6,2,1,1,13,99,2000,5,1,1,2,3,5,2,9,4,1,4,3,9,9,1,35,0,2,0,9,1,1,1,b3159b1c,20357,8916.0,3_Constraints,3191.0,2_Core
40768,407681,4076811,407681102,1,1,1,1,1,13,8,0,5,2,3,1,1,1,3,0,4,1,3,2,1,4,0,46,637035,1,0,2,2,2,2,dcb8df4a,98757,5963.0,3_Constraints,13536.0,3_Constraints
51507,515071,5150711,515071101,1,5,2,3,1,13,2,27000,6,2,3,1,2,1,4,0,4,1,1,1,1,6,2000,24,210000,1,6,2,2,2,2,38c4dd9b,67900,2171.0,3_Constraints,19532.0,2_Core
2183,21831,218311,21831101,2,4,1,1,2,5,2,27000,6,3,4,1,2,1,2,0,4,1,1,1,1,5,1000,35,290000,1,5,2,2,2,2,8948965c,38505,19269.0,3_Constraints,11972.0,3_Constraints
72731,727311,7273111,727311101,1,5,1,1,1,13,2,34000,7,3,4,1,3,2,2,0,3,1,1,1,1,4,5000,46,300000,1,5,2,2,2,2,d49cd200,80375,4587.0,3_Constraints,18346.0,3_Constraints
39495,394951,3949512,394951203,1,2,1,3,1,5,2,27000,6,2,4,1,1,1,1,0,4,1,1,2,1,6,4000,24,130000,1,5,6,3,3,2,6b77e149,94039,9968.0,4_FailSafe,12425.0,3_Constraints
11711,117111,1171111,117111103,2,1,2,3,1,8,3,18000,5,2,4,1,1,3,1,0,4,1,3,2,1,6,2000,24,50000,3,0,2,3,3,3,aea28714,50267,13882.0,3_Constraints,11329.0,3_Constraints
45911,459111,4591111,459111101,2,7,2,1,1,8,99,1000,7,2,2,1,2,1,3,9,1,2,4,1,9,9,1000,35,0,1,0,9,2,2,2,19f22ea3,64602,15779.0,3_Constraints,12758.0,3_Constraints
61883,618831,6188311,618831102,2,4,2,1,1,8,3,468482,12,3,4,1,2,1,1,0,3,1,1,2,1,6,219412,35,590894,1,4,2,2,2,2,fe604df3,96316,1325.0,2_Core,10116.0,2_Core
