column_index,CENSUS_2006,GSS_2005
0,HH_ID,occID
1,EF_ID,EPINO
2,CF_ID,WGHT_EPI
3,PP_ID,occACT
4,CMA,start
5,AGEGRP,end
6,SEX,occPRE
7,KOL,Alone
8,ATTSCH,Spouse
9,CIP,Children
10,NOCS,otherInFAMs
11,EMPIN,Friends
12,TOTINC,Others
13,BEDRM,otherHHs
14,ROOM,parents
15,DTYPE,PR
16,MARSTH,REGION
17,CFSTAT,DDAY
18,BUILT,HHSIZE
19,CONDO,AGEGRP
20,GENSTAT,SEX
21,CITIZEN,MARSTH
22,LFTAG,KOL
23,CF_RP,ATTSCH
24,COW,HDGREE
25,POWST,NOCS
26,INCTAX,NAICS
27,PR,LFTAG
28,VALUE,TOTINC
29,REPAIR,CMA
30,HRSWRK,
31,MODE,
32,HHSIZE,
33,EFSIZE,
34,CFSIZE,
35,PID,
36,SIM_HH_ID,
